stage,group,home_team,away_team,status
GROUP_STAGE,GROUP_A,Mexico,South Africa,FINISHED
GROUP_STAGE,GROUP_A,South Korea,Czechia,FINISHED
GROUP_STAGE,GROUP_B,Canada,Bosnia-Herzegovina,FINISHED
GROUP_STAGE,GROUP_D,United States,Paraguay,FINISHED
GROUP_STAGE,GROUP_B,Qatar,Switzerland,FINISHED
GROUP_STAGE,GROUP_C,Brazil,Morocco,FINISHED
GROUP_STAGE,GROUP_C,Haiti,Scotland,FINISHED
GROUP_STAGE,GROUP_D,Australia,Turkey,FINISHED
GROUP_STAGE,GROUP_E,Germany,Curaçao,FINISHED
GROUP_STAGE,GROUP_F,Netherlands,Japan,FINISHED
GROUP_STAGE,GROUP_E,Ivory Coast,Ecuador,FINISHED
GROUP_STAGE,GROUP_F,Sweden,Tunisia,FINISHED
GROUP_STAGE,GROUP_H,Spain,Cape Verde Islands,FINISHED
GROUP_STAGE,GROUP_G,Belgium,Egypt,FINISHED
GROUP_STAGE,GROUP_H,Saudi Arabia,Uruguay,FINISHED
GROUP_STAGE,GROUP_G,Iran,New Zealand,FINISHED
GROUP_STAGE,GROUP_I,France,Senegal,FINISHED
GROUP_STAGE,GROUP_I,Iraq,Norway,FINISHED
GROUP_STAGE,GROUP_J,Argentina,Algeria,FINISHED
GROUP_STAGE,GROUP_J,Austria,Jordan,FINISHED
GROUP_STAGE,GROUP_K,Portugal,Congo DR,FINISHED
GROUP_STAGE,GROUP_L,England,Croatia,FINISHED
GROUP_STAGE,GROUP_L,Ghana,Panama,FINISHED
GROUP_STAGE,GROUP_K,Uzbekistan,Colombia,FINISHED
GROUP_STAGE,GROUP_A,Czechia,South Africa,FINISHED
GROUP_STAGE,GROUP_B,Switzerland,Bosnia-Herzegovina,FINISHED
GROUP_STAGE,GROUP_B,Canada,Qatar,FINISHED
GROUP_STAGE,GROUP_A,Mexico,South Korea,FINISHED
GROUP_STAGE,GROUP_D,United States,Australia,FINISHED
GROUP_STAGE,GROUP_C,Scotland,Morocco,FINISHED
GROUP_STAGE,GROUP_C,Brazil,Haiti,FINISHED
GROUP_STAGE,GROUP_D,Turkey,Paraguay,FINISHED
GROUP_STAGE,GROUP_F,Netherlands,Sweden,FINISHED
GROUP_STAGE,GROUP_E,Germany,Ivory Coast,FINISHED
GROUP_STAGE,GROUP_E,Ecuador,Curaçao,FINISHED
GROUP_STAGE,GROUP_F,Tunisia,Japan,FINISHED
GROUP_STAGE,GROUP_H,Spain,Saudi Arabia,FINISHED
GROUP_STAGE,GROUP_G,Belgium,Iran,FINISHED
GROUP_STAGE,GROUP_H,Uruguay,Cape Verde Islands,FINISHED
GROUP_STAGE,GROUP_G,New Zealand,Egypt,FINISHED
GROUP_STAGE,GROUP_J,Argentina,Austria,FINISHED
GROUP_STAGE,GROUP_I,France,Iraq,FINISHED
GROUP_STAGE,GROUP_I,Norway,Senegal,FINISHED
GROUP_STAGE,GROUP_J,Jordan,Algeria,FINISHED
GROUP_STAGE,GROUP_K,Portugal,Uzbekistan,FINISHED
GROUP_STAGE,GROUP_L,England,Ghana,FINISHED
GROUP_STAGE,GROUP_L,Panama,Croatia,FINISHED
GROUP_STAGE,GROUP_K,Colombia,Congo DR,FINISHED
GROUP_STAGE,GROUP_B,Switzerland,Canada,FINISHED
GROUP_STAGE,GROUP_B,Bosnia-Herzegovina,Qatar,FINISHED
GROUP_STAGE,GROUP_C,Morocco,Haiti,FINISHED
GROUP_STAGE,GROUP_C,Scotland,Brazil,FINISHED
GROUP_STAGE,GROUP_A,Czechia,Mexico,FINISHED
GROUP_STAGE,GROUP_A,South Africa,South Korea,FINISHED
GROUP_STAGE,GROUP_E,Ecuador,Germany,FINISHED
GROUP_STAGE,GROUP_E,Curaçao,Ivory Coast,FINISHED
GROUP_STAGE,GROUP_F,Tunisia,Netherlands,FINISHED
GROUP_STAGE,GROUP_F,Japan,Sweden,FINISHED
GROUP_STAGE,GROUP_D,Turkey,United States,FINISHED
GROUP_STAGE,GROUP_D,Paraguay,Australia,FINISHED
GROUP_STAGE,GROUP_I,Norway,France,FINISHED
GROUP_STAGE,GROUP_I,Senegal,Iraq,FINISHED
GROUP_STAGE,GROUP_H,Uruguay,Spain,FINISHED
GROUP_STAGE,GROUP_H,Cape Verde Islands,Saudi Arabia,FINISHED
GROUP_STAGE,GROUP_G,New Zealand,Belgium,FINISHED
GROUP_STAGE,GROUP_G,Egypt,Iran,FINISHED
GROUP_STAGE,GROUP_L,Panama,England,FINISHED
GROUP_STAGE,GROUP_L,Croatia,Ghana,FINISHED
GROUP_STAGE,GROUP_K,Colombia,Portugal,FINISHED
GROUP_STAGE,GROUP_K,Congo DR,Uzbekistan,FINISHED
GROUP_STAGE,GROUP_J,Jordan,Argentina,FINISHED
GROUP_STAGE,GROUP_J,Algeria,Austria,FINISHED
LAST_32,,South Africa,Canada,FINISHED
LAST_32,,Brazil,Japan,FINISHED
LAST_32,,Germany,Paraguay,FINISHED
LAST_32,,Netherlands,Morocco,FINISHED
LAST_32,,Ivory Coast,Norway,TIMED
LAST_32,,France,Sweden,TIMED
LAST_32,,Mexico,Ecuador,TIMED
LAST_32,,England,Congo DR,TIMED
LAST_32,,Belgium,Senegal,TIMED
LAST_32,,United States,Bosnia-Herzegovina,TIMED
LAST_32,,Spain,Austria,TIMED
LAST_32,,Portugal,Croatia,TIMED
LAST_32,,Switzerland,Algeria,TIMED
LAST_32,,Australia,Egypt,TIMED
LAST_32,,Argentina,Cape Verde Islands,TIMED
LAST_32,,Colombia,Ghana,TIMED
LAST_16,,Canada,Morocco,TIMED
LAST_16,,Paraguay,,TIMED
LAST_16,,Brazil,,TIMED
LAST_16,,,,TIMED
LAST_16,,,,TIMED
LAST_16,,,,TIMED
LAST_16,,,,TIMED
LAST_16,,,,TIMED
QUARTER_FINALS,,,,TIMED
QUARTER_FINALS,,,,TIMED
QUARTER_FINALS,,,,TIMED
QUARTER_FINALS,,,,TIMED
SEMI_FINALS,,,,TIMED
SEMI_FINALS,,,,TIMED
THIRD_PLACE,,,,TIMED
FINAL,,,,TIMED
