team,elo_rating
Argentina,2075.25073798805
Spain,2045.5844305748878
France,2030.2875236739746
Colombia,1966.4603372837953
Brazil,1966.263549841323
Portugal,1947.1099324374954
England,1931.7017065938594
Germany,1919.1529132252238
Italy,1905.5189837393616
Japan,1903.48006001146
Ecuador,1902.2749345427321
Morocco,1901.08750999383
Netherlands,1900.0098816665488
Croatia,1898.5794950031532
Belgium,1887.4969184927875
Switzerland,1874.668312963189
Mexico,1867.823715863645
Uruguay,1862.9899816301522
Turkey,1862.0807260459574
Denmark,1853.3576509515383
Paraguay,1842.4733966982544
Norway,1841.274436534183
Algeria,1839.0017744946551
Senegal,1835.7893646157847
Austria,1834.8817926996107
Iran,1812.590468982374
Australia,1802.7850692857803
South Korea,1797.3485442376896
Ivory Coast,1788.4825102471518
Ukraine,1785.4315482102336
Egypt,1783.3025563682465
Nigeria,1781.3901437521388
Canada,1778.7655859686713
Yugoslavia,1777.9382021948088
Venezuela,1774.8112487970025
Russia,1774.110174239734
Chile,1771.9399206265143
Basque Country,1766.619956071192
Jersey,1755.2559404126073
Serbia,1754.3727121028503
United States,1754.2378640152556
Sweden,1748.92675196924
Czech Republic,1733.3861200621823
Hungary,1731.3016266762297
Czechoslovakia,1730.296361542362
Scotland,1728.6692546007798
Greece,1727.7267288613098
German DR,1727.2412774481456
Poland,1721.820565141944
Peru,1720.0949614216931
DR Congo,1712.8658366355878
Slovenia,1712.0916400493634
Uzbekistan,1709.0287520197594
Panama,1704.5260974104553
Republic of Ireland,1697.8696049935463
Cameroon,1691.1664952576875
Tunisia,1686.2126257360494
Guernsey,1685.2043359541995
Kosovo,1684.8338057404721
Mali,1672.4318927931856
Wales,1670.0746399645827
Slovakia,1668.664172012648
Iraq,1665.8942574074701
Costa Rica,1662.1938648375897
Jordan,1660.7813463176105
Isle of Man,1660.3792136554703
Burkina Faso,1659.6261637682749
Ynys Môn,1657.9585562180046
Saudi Arabia,1655.8099142410688
Cape Verde,1652.6883766441997
Catalonia,1651.472026150994
South Africa,1650.7159026380655
Romania,1648.7050563941532
Georgia,1646.242315379067
Israel,1641.8537796723765
Honduras,1636.0177787505763
Bosnia and Herzegovina,1634.317997166962
Occitania,1633.1488817792724
Ghana,1632.5797903564599
Bolivia,1629.6207973588998
New Zealand,1622.9769073636703
Isle of Wight,1618.407515907035
United Arab Emirates,1618.075526954961
Northern Ireland,1617.6704026693565
Jamaica,1616.450822069632
Iceland,1615.9302195137982
Northern Cyprus,1611.0578464674338
Padania,1609.6993538395213
North Macedonia,1606.4527568382314
Andalusia,1599.5799340854235
Iraqi Kurdistan,1592.5918114380174
Albania,1589.367656178389
Guatemala,1584.6891491322988
Kernow,1584.2882655444253
Haiti,1581.0199779680247
Finland,1573.4088804289192
County of Nice,1572.6732408178132
Abkhazia,1572.1186002310596
Kárpátalja,1571.3252331315318
New Caledonia,1565.8567377830277
Oman,1564.9547025468432
Rhodes,1562.4505073928487
Belarus,1561.9313723374255
Kurdistan,1561.5775887645777
Angola,1558.863290842198
Réunion,1553.0060330606975
Ellan Vannin,1552.326055915467
Corsica,1550.8949674788455
Arameans Suryoye,1550.0182265786057
Libya,1548.2197294446235
Yorkshire,1546.2808671456794
Panjab,1546.0279544356033
Tamil Eelam,1545.7422814559277
Suriname,1545.4764930973097
Cascadia,1541.9527869322858
Maule Sur,1539.5350595779983
Galicia,1537.0556300980995
Zanzibar,1536.1643694163918
Guinea,1536.0431211685584
Syria,1535.3019257648286
Zambia,1534.4908264207809
Artsakh,1533.11805123596
Palestine,1530.5454046669402
Montenegro,1529.43112286473
Qatar,1528.9501120151874
Crimea,1527.984662171254
Gabon,1527.1976200534266
Bulgaria,1527.089955229782
Menorca,1526.9402348564565
Curaçao,1526.4898008022456
Chameria,1525.7784054248225
Felvidék,1523.637067027525
Asturias,1521.782563006104
Gambia,1520.7151620991967
China,1519.629096892978
Trinidad and Tobago,1519.2128039492673
Benin,1519.1997227490183
Tahiti,1518.9831303091053
Surrey,1518.2152327858073
Elba Island,1515.8644472413841
Matabeleland,1515.3816061607627
Thailand,1515.3015170336284
Donetsk PR,1514.4909431260505
Biafra,1513.6907497863388
Uganda,1512.2771023881123
Brittany,1511.400055589243
Franconia,1510.9333948275387
Parishes of Jersey,1510.3789656382382
Canary Islands,1509.4702676507482
Togo,1509.33325612765
Quebec,1505.535481090362
Central Spain,1500.9160202864782
Shetland,1500.7734290042558
El Salvador,1498.871471032681
East Turkestan,1498.867828263213
Western Armenia,1498.4627149746016
North Korea,1498.0241818596542
Madagascar,1496.2762572239321
North Vietnam,1495.535488620766
Saugeais,1494.4444256079994
Comoros,1494.35957202162
Guadeloupe,1493.837093107418
Luhansk PR,1492.5067092021197
Bahrain,1492.3431315315333
Malaysia,1492.2272835567485
Mapuche,1491.9186123017912
Vietnam,1491.0803492174107
Kenya,1490.8295374541174
Sealand,1490.5980308717508
Cilento,1488.227255415613
Silesia,1488.1329497968009
Délvidék,1487.8075503048142
Kabylia,1485.9977891387498
United Koreans in Japan,1485.1360904251483
Mozambique,1484.1800227142642
Hmong,1483.73148795849
Zimbabwe,1483.650044412216
Monaco,1483.3344514976386
Madrid,1483.2080030225356
Kazakhstan,1482.498828983969
South Yemen,1482.1930895877267
Somaliland,1481.5885802815053
Székely Land,1480.3491991335961
South Ossetia,1480.246505243418
Ryūkyū,1478.2519076509295
Seborga,1478.230882667523
Western Australia,1477.3146671146346
Nicaragua,1476.8679971742747
Mauritania,1475.8470776545173
Yoruba Nation,1474.5267809702184
Chechnya,1473.819075623971
Kuwait,1473.7138476314035
West Papua,1471.083227230574
Gozo,1469.6412964037124
Sudan,1469.1310902658063
Aymara,1468.5463281202105
Romani people,1467.8118950017688
Niue,1467.3772515312733
Mayotte,1467.1693945731952
Two Sicilies,1466.5219593106399
Western Isles,1466.4069814132426
Indonesia,1466.2812690215064
Papua New Guinea,1465.407236479351
Åland Islands,1464.2539311550831
Guyana,1464.019039815052
Republic of St. Pauli,1463.1591343973898
Rwanda,1461.4343790284208
Ticino,1460.729912799122
Luxembourg,1458.854831159895
Greenland,1458.5416029913122
Estonia,1456.257797042849
Sierra Leone,1455.4487338918095
Vanuatu,1452.9382729585286
Martinique,1451.7349658581843
Lebanon,1450.7614749013667
Palau,1448.5310147817072
Ambazonia,1447.855097024547
Niger,1447.4218453206224
Manchukuo,1446.5192141525697
Malawi,1445.7049013989204
Sark,1445.3670767437957
Găgăuzia,1445.2661449753193
Marshall Islands,1445.1857389619481
Dominican Republic,1442.3254720783546
Fiji,1442.0464180796223
Vietnam Republic,1441.5000602257362
Yemen DPR,1439.995879338306
Sápmi,1439.9713811187928
Equatorial Guinea,1439.7801666023752
Saarland,1438.6963174547798
Provence,1435.6222278055532
Tajikistan,1435.4982926195266
Botswana,1435.1162778540054
Western Sahara,1429.6922337008998
Cuba,1429.105759915533
Namibia,1428.806717869582
Faroe Islands,1426.7817865078885
Kyrgyzstan,1426.0610029781317
Armenia,1424.174388434809
Vatican City,1424.115970250967
Raetia,1423.5505745270166
Micronesia,1423.256710342849
French Guiana,1418.4169048445817
Tanzania,1414.5869086588211
Saint Pierre and Miquelon,1413.2609596010925
Saint Barthélemy,1413.1706974442645
Gotland,1411.9175824771062
Orkney,1409.4237777902108
Saint Helena,1409.3393721786235
Burundi,1407.3408852312452
Ethiopia,1405.0047834697723
Turkmenistan,1403.8274055872275
Liberia,1402.900461795191
Guinea-Bissau,1401.450137672784
Cyprus,1400.2000520645083
Lesotho,1399.2843675716076
Solomon Islands,1398.798354159293
Chagos Islands,1396.933389819201
Darfur,1396.5178893523719
Azerbaijan,1393.400331023728
Barawa,1392.9106776350775
Hitra,1391.966517271135
Wallis Islands and Futuna,1390.0725200782185
Saint Vincent and the Grenadines,1384.7456170340158
Malta,1384.397641965069
Central African Republic,1374.8452412581182
Congo,1372.3603306026353
Bermuda,1370.0170528203757
Philippines,1365.1533191237363
Saare County,1363.2958108550124
Sint Maarten,1360.7212877651848
Kiribati,1360.0930900956278
Puerto Rico,1358.1033124288274
Lithuania,1348.9836553073953
Moldova,1346.5456602004015
Latvia,1344.1972776941236
Eswatini,1339.649423299934
Belize,1332.004402321237
Tuvalu,1330.7773398089373
Tibet,1326.4339263898455
Saint Martin,1324.695121907294
Saint Kitts and Nevis,1320.880151267208
Singapore,1318.6866116338174
Hong Kong,1317.8684260176822
Yemen,1309.205427156772
South Sudan,1303.67254594272
Grenada,1302.4117346703533
Samoa,1300.9187093567616
Falkland Islands,1295.072631242632
Saint Lucia,1294.3110044939915
Chad,1294.1578180225138
Montserrat,1293.7158390263537
Frøya,1286.3470621376996
India,1284.807569996001
Cook Islands,1273.3503129812455
Eritrea,1271.462577997112
Mauritius,1256.595004582435
Aruba,1250.9404493494787
Bonaire,1247.2235312673686
São Tomé and Príncipe,1234.2493030422684
Dominica,1224.8151922431825
Afghanistan,1218.5409503394053
Gibraltar,1206.5665616338517
Myanmar,1204.2898358059049
Antigua and Barbuda,1202.1968803939435
Barbados,1201.3299465816763
Bangladesh,1196.1805320651827
Turks and Caicos Islands,1195.8182399080965
Nepal,1194.292456617608
Tonga,1191.8943059492285
Andorra,1183.0493855213267
Pakistan,1177.5325497048464
Taiwan,1174.4228292346984
British Virgin Islands,1152.6431655707222
Alderney,1147.0719869660848
Cayman Islands,1144.012826158835
Northern Mariana Islands,1135.4935175285677
Somalia,1133.8940572243953
Cambodia,1131.8078962525528
Djibouti,1128.7041561475403
Guam,1111.3575177850144
American Samoa,1110.324357830703
United States Virgin Islands,1107.829097921792
Maldives,1103.4914454209807
Mongolia,1102.943816121177
Bahamas,1100.8330390614883
Seychelles,1097.8178585908504
Sri Lanka,1091.5695166138078
Liechtenstein,1091.2771561959512
Anguilla,1079.1714367497098
Laos,1042.9506111867236
Brunei,1028.7014926937472
Timor-Leste,1007.5096651868163
San Marino,976.5620839907639
Bhutan,976.5217800739566
Macau,971.4401178404532
